,From,To,Weight
0,Bingning Wang,Jun Zhao 0001,1
1,Bingning Wang,Kang Liu 0001,1
2,Jun Zhao 0001,Kang Liu 0001,1
3,Dalin Zhang,Kaixuan Chen,1
4,Dalin Zhang,Lina Yao,1
5,Dalin Zhang,Sen Wang 0001,1
6,Kaixuan Chen,Lina Yao,1
7,Kaixuan Chen,Sen Wang 0001,1
8,Lina Yao,Sen Wang 0001,1
9,Han Guo,Jintao Li,1
10,Han Guo,Juan Cao,1
11,Han Guo,Junbo Guo,1
12,Han Guo,Yazi Zhang,1
13,Jintao Li,Juan Cao,1
14,Jintao Li,Junbo Guo,1
15,Jintao Li,Yazi Zhang,1
16,Juan Cao,Junbo Guo,1
17,Juan Cao,Yazi Zhang,1
18,Junbo Guo,Yazi Zhang,1
19,Andrés Muñoz Medina,Dong Yin,1
20,Andrés Muñoz Medina,Sergei Vassilvitskii,2
21,Dong Yin,Sergei Vassilvitskii,1
22,Junqi Zhang,Qi Tian,1
23,Junqi Zhang,Shaoping Ma,1
24,Junqi Zhang,Yiqun Liu 0001,1
25,Qi Tian,Shaoping Ma,1
26,Qi Tian,Yiqun Liu 0001,1
27,Shaoping Ma,Yiqun Liu 0001,6
28,Ke Yuan,Liangcai Gao,1
29,Ke Yuan,Xiaozhong Liu,1
30,Ke Yuan,Zheng Gao,1
31,Ke Yuan,Zhi Tang,1
32,Ke Yuan,Zhuoren Jiang,1
33,Liangcai Gao,Xiaozhong Liu,1
34,Liangcai Gao,Zheng Gao,1
35,Liangcai Gao,Zhi Tang,1
36,Liangcai Gao,Zhuoren Jiang,1
37,Xiaozhong Liu,Zheng Gao,1
38,Xiaozhong Liu,Zhi Tang,1
39,Xiaozhong Liu,Zhuoren Jiang,1
40,Zheng Gao,Zhi Tang,1
41,Zheng Gao,Zhuoren Jiang,1
42,Zhi Tang,Zhuoren Jiang,1
43,Bochao Liu,Guorui Zhou,1
44,Bochao Liu,Haoyu Liu,1
45,Bochao Liu,Huiming Yi,1
46,Bochao Liu,Keyu Chen,1
47,Bochao Liu,Kun Gai,1
48,Bochao Liu,Liqin Zhao,1
49,Bochao Liu,Peng Sun,1
50,Bochao Liu,Pengtao Yi,1
51,Bochao Liu,Shuying Liu,1
52,Bochao Liu,Sui Huang,1
53,Bochao Liu,Tiezheng Ge,1
54,Bochao Liu,Xiaoqiang Zhu,1
55,Bochao Liu,Yu Zhang,1
56,Bochao Liu,Zelin Hu,1
57,Bochao Liu,Zhiqiang Zhang 0011,1
58,Guorui Zhou,Haoyu Liu,1
59,Guorui Zhou,Huiming Yi,1
60,Guorui Zhou,Keyu Chen,1
61,Guorui Zhou,Kun Gai,2
62,Guorui Zhou,Liqin Zhao,1
63,Guorui Zhou,Peng Sun,1
64,Guorui Zhou,Pengtao Yi,1
65,Guorui Zhou,Shuying Liu,1
66,Guorui Zhou,Sui Huang,1
67,Guorui Zhou,Tiezheng Ge,1
68,Guorui Zhou,Xiaoqiang Zhu,2
69,Guorui Zhou,Yu Zhang,1
70,Guorui Zhou,Zelin Hu,1
71,Guorui Zhou,Zhiqiang Zhang 0011,1
72,Haoyu Liu,Huiming Yi,1
73,Haoyu Liu,Keyu Chen,1
74,Haoyu Liu,Kun Gai,1
75,Haoyu Liu,Liqin Zhao,1
76,Haoyu Liu,Peng Sun,1
77,Haoyu Liu,Pengtao Yi,1
78,Haoyu Liu,Shuying Liu,1
79,Haoyu Liu,Sui Huang,1
80,Haoyu Liu,Tiezheng Ge,1
81,Haoyu Liu,Xiaoqiang Zhu,1
82,Haoyu Liu,Yu Zhang,1
83,Haoyu Liu,Zelin Hu,1
84,Haoyu Liu,Zhiqiang Zhang 0011,1
85,Huiming Yi,Keyu Chen,1
86,Huiming Yi,Kun Gai,1
87,Huiming Yi,Liqin Zhao,1
88,Huiming Yi,Peng Sun,1
