,From,To,Weight
139,Peixu Hou,Yang Yang,1
140,Peixu Hou,Zhongyuan Wang,1
141,Peixu Hou,Zili Wang,1
142,Rao Fu,Yang Yang,1
143,Rao Fu,Zhongyuan Wang,1
144,Rao Fu,Zili Wang,1
145,Yang Yang,Zhongyuan Wang,1
146,Yang Yang,Zili Wang,1
147,Zhongyuan Wang,Zili Wang,1
148,Jia-Chen Gu,Quan Liu,1
149,Jia-Chen Gu,Si Wei,1
150,Jia-Chen Gu,Tianda Li,1
151,Jia-Chen Gu,Xiaodan Zhu,1
152,Jia-Chen Gu,Zhen-Hua Ling,1
153,Jia-Chen Gu,Zhiming Su,1
154,Quan Liu,Si Wei,1
155,Quan Liu,Tianda Li,1
156,Quan Liu,Xiaodan Zhu,1
157,Quan Liu,Zhen-Hua Ling,1
158,Quan Liu,Zhiming Su,1
159,Si Wei,Tianda Li,1
160,Si Wei,Xiaodan Zhu,1
161,Si Wei,Zhen-Hua Ling,1
162,Si Wei,Zhiming Su,1
163,Tianda Li,Xiaodan Zhu,1
164,Tianda Li,Zhen-Hua Ling,1
165,Tianda Li,Zhiming Su,1
166,Xiaodan Zhu,Zhen-Hua Ling,1
167,Xiaodan Zhu,Zhiming Su,1
168,Zhen-Hua Ling,Zhiming Su,1
169,Cheong Hee Park,Haesun Park,1
170,Cheong Hee Park,Koby Hayashi,1
171,Cheong Hee Park,Sinan G. Aksoy,1
172,Haesun Park,Koby Hayashi,1
173,Haesun Park,Sinan G. Aksoy,1
174,Koby Hayashi,Sinan G. Aksoy,1
175,Adir Solomon,Amit Magen,1
176,Adir Solomon,Bracha Shapira,1
177,Adir Solomon,Lior Rokach,1
178,Adir Solomon,Mor Kertis,1
179,Adir Solomon,Simo Hanouna,1
180,Amit Magen,Bracha Shapira,1
181,Amit Magen,Lior Rokach,1
182,Amit Magen,Mor Kertis,1
183,Amit Magen,Simo Hanouna,1
184,Bracha Shapira,Lior Rokach,1
185,Bracha Shapira,Mor Kertis,1
186,Bracha Shapira,Simo Hanouna,1
187,Lior Rokach,Mor Kertis,1
188,Lior Rokach,Simo Hanouna,1
189,Mor Kertis,Simo Hanouna,1
190,Bin Liang,Jiachen Du,1
191,Bin Liang,Lin Gui 0003,1
192,Bin Liang,Rongdi Yin,1
193,Bin Liang,Ruifeng Xu,1
194,Bin Liang,Yulan He,1
195,Jiachen Du,Lin Gui 0003,1
196,Jiachen Du,Rongdi Yin,1
197,Jiachen Du,Ruifeng Xu,1
198,Jiachen Du,Yulan He,1
199,Lin Gui 0003,Rongdi Yin,1
200,Lin Gui 0003,Ruifeng Xu,1
201,Lin Gui 0003,Yulan He,1
202,Rongdi Yin,Ruifeng Xu,1
203,Rongdi Yin,Yulan He,1
204,Ruifeng Xu,Yulan He,1
205,ChengXiang Zhai,Parikshit Sondhi,1
206,ChengXiang Zhai,Shubhra (Santu) K. Karmaker,1
207,Parikshit Sondhi,Shubhra (Santu) K. Karmaker,1
208,Chao Chen,Sihong Xie,1
209,Chao Chen,Xi Zhang,1
210,Chao Chen,Yazheng Liu,1
211,Chao Chen,Yifei Liu,1
212,Sihong Xie,Xi Zhang,1
213,Sihong Xie,Yazheng Liu,1
214,Sihong Xie,Yifei Liu,1
215,Xi Zhang,Yazheng Liu,1
216,Xi Zhang,Yifei Liu,1
217,Yazheng Liu,Yifei Liu,1
218,Abhisht Tiwari,Heer Ambavi,1
219,Abhisht Tiwari,Kavita Vaishnaw,1
220,Abhisht Tiwari,Mayank Singh 0001,1
221,Abhisht Tiwari,Udit Vyas,1
222,Heer Ambavi,Kavita Vaishnaw,1
223,Heer Ambavi,Mayank Singh 0001,1
224,Heer Ambavi,Udit Vyas,1
225,Kavita Vaishnaw,Mayank Singh 0001,1
226,Kavita Vaishnaw,Udit Vyas,1
227,Mayank Singh 0001,Udit Vyas,1
228,Bo Li,Dongqi Fu,1
229,Bo Li,Hanghang Tong,1
230,Bo Li,Jingrui He,1
231,Bo Li,Zhe Xu,1
232,Dongqi Fu,Hanghang Tong,1
233,Dongqi Fu,Jingrui He,2
234,Dongqi Fu,Zhe Xu,1
235,Hanghang Tong,Jingrui He,3
236,Hanghang Tong,Zhe Xu,2
237,Jingrui He,Zhe Xu,1
238,Jamie Callan,Vaibhav Kumar,1
239,Jamie Callan,Vikas Raunak,1
240,Vaibhav Kumar,Vikas Raunak,1
241,Emilio Ferrara,Hsien-Te Kao,1
242,Emilio Ferrara,Shen Yan,1
243,Hsien-Te Kao,Shen Yan,1
244,Cen Chen,Chilin Fu,1
245,Cen Chen,Jun Zhou,2
246,Cen Chen,Kuan Xu,1
247,Cen Chen,Wenge Rong,1
248,Cen Chen,Xiaolong Li 0005,1
249,Cen Chen,Xiaolu Zhang,1
250,Cen Chen,Ya-Lin Zhang,1
251,Cen Chen,Yu Qiao 0001,1
252,Cen Chen,Zujie Wen,1
253,Chilin Fu,Jun Zhou,1
254,Chilin Fu,Kuan Xu,1
255,Chilin Fu,Wenge Rong,1
256,Chilin Fu,Xiaolong Li 0005,1
257,Chilin Fu,Xiaolu Zhang,1
258,Chilin Fu,Ya-Lin Zhang,1
259,Chilin Fu,Yu Qiao 0001,1
260,Chilin Fu,Zujie Wen,1
261,Jun Zhou,Kuan Xu,1
262,Jun Zhou,Wenge Rong,1
263,Jun Zhou,Xiaolong Li 0005,1
264,Jun Zhou,Xiaolu Zhang,1
265,Jun Zhou,Ya-Lin Zhang,1
266,Jun Zhou,Yu Qiao 0001,1
267,Jun Zhou,Zujie Wen,1
268,Kuan Xu,Wenge Rong,1
269,Kuan Xu,Xiaolong Li 0005,1
270,Kuan Xu,Xiaolu Zhang,1
271,Kuan Xu,Ya-Lin Zhang,1
272,Kuan Xu,Yu Qiao 0001,1
273,Kuan Xu,Zujie Wen,1
274,Wenge Rong,Xiaolong Li 0005,1
275,Wenge Rong,Xiaolu Zhang,1
276,Wenge Rong,Ya-Lin Zhang,1
277,Wenge Rong,Yu Qiao 0001,1
278,Wenge Rong,Zujie Wen,1
279,Xiaolong Li 0005,Xiaolu Zhang,1
280,Xiaolong Li 0005,Ya-Lin Zhang,1
281,Xiaolong Li 0005,Yu Qiao 0001,1
282,Xiaolong Li 0005,Zujie Wen,1
283,Xiaolu Zhang,Ya-Lin Zhang,1
284,Xiaolu Zhang,Yu Qiao 0001,1
285,Xiaolu Zhang,Zujie Wen,1
286,Ya-Lin Zhang,Yu Qiao 0001,1
287,Ya-Lin Zhang,Zujie Wen,1
288,Yu Qiao 0001,Zujie Wen,1
289,Anna Primpeli,Christian Bizer,1
290,Alkis Simitsis,Antonios Deligiannakis,1
291,Alkis Simitsis,Antonis Kontaxakis,1
292,Alkis Simitsis,Aris Konidaris,1
293,Alkis Simitsis,Arnau Montagud,1
294,Alkis Simitsis,David Arnu,1
295,Alkis Simitsis,Edwin Yaqub,1
