,From,To,Weight
145,Min Zhang 0006,Yiqun Liu 0001,2
146,Min Zhang 0006,Yue Yin,1
147,Min Zhang 0006,Yuli Liu,1
148,Shaoping Ma,Yiqun Liu 0001,2
149,Shaoping Ma,Yue Yin,1
150,Shaoping Ma,Yuli Liu,1
151,Yiqun Liu 0001,Yue Yin,1
152,Yiqun Liu 0001,Yuli Liu,1
153,Yue Yin,Yuli Liu,1
154,Jae-Geun Bang,Jiwon Hong,1
155,Jae-Geun Bang,Myung-Hwan Jang,1
156,Jae-Geun Bang,Sang-Wook Kim,1
157,Jae-Geun Bang,Yong-Yeon Jo,1
158,Jiwon Hong,Myung-Hwan Jang,1
159,Jiwon Hong,Sang-Wook Kim,1
160,Jiwon Hong,Yong-Yeon Jo,1
161,Myung-Hwan Jang,Sang-Wook Kim,1
162,Myung-Hwan Jang,Yong-Yeon Jo,1
163,Sang-Wook Kim,Yong-Yeon Jo,1
164,Christina Lioma,Kåre Mølbak,1
165,Christina Lioma,Niels Dalum Hansen,1
166,Kåre Mølbak,Niels Dalum Hansen,1
167,Akira Tajima,Yuki Yano,1
168,Akira Tajima,Yukihiro Tagami,1
169,Yuki Yano,Yukihiro Tagami,1
170,Francesca Spezzano,Kelsey Suyehira,1
171,Chuan Lei,Elke A. Rundensteiner,1
172,Chuan Lei,Mohamed Y. Eltabakh,1
173,Chuan Lei,Zhongfang Zhuang,1
174,Elke A. Rundensteiner,Mohamed Y. Eltabakh,1
175,Elke A. Rundensteiner,Zhongfang Zhuang,1
176,Mohamed Y. Eltabakh,Zhongfang Zhuang,1
177,Huzefa Rangwala,Naren Ramakrishnan,2
178,Huzefa Rangwala,Wei Wang 0064,1
179,Huzefa Rangwala,Yue Ning,2
180,Naren Ramakrishnan,Wei Wang 0064,2
181,Naren Ramakrishnan,Yue Ning,2
182,Wei Wang 0064,Yue Ning,1
183,Mitch Cherniack,Olga Papaemmanouil,1
184,Mitch Cherniack,Zhan Li,1
185,Olga Papaemmanouil,Zhan Li,1
186,Animesh Mukherjee 0001,Matteo Marsili,1
187,Animesh Mukherjee 0001,Niloy Ganguly,1
188,Animesh Mukherjee 0001,Sandipan Sikdar,1
189,Matteo Marsili,Niloy Ganguly,1
190,Matteo Marsili,Sandipan Sikdar,1
191,Niloy Ganguly,Sandipan Sikdar,1
192,Haoran Huang,Jindou Wu,1
193,Haoran Huang,Qi Zhang 0001,1
194,Haoran Huang,Xuanjing Huang,1
195,Haoran Huang,Yeyun Gong,1
196,Jindou Wu,Qi Zhang 0001,1
197,Jindou Wu,Xuanjing Huang,1
198,Jindou Wu,Yeyun Gong,1
199,Qi Zhang 0001,Xuanjing Huang,2
200,Qi Zhang 0001,Yeyun Gong,1
201,Xuanjing Huang,Yeyun Gong,1
202,Aleksandr Chuklin,Maarten de Rijke,1
203,Haifeng Zhang 0002,Jun Wang 0012,1
204,Haifeng Zhang 0002,Kan Ren,1
205,Haifeng Zhang 0002,Weinan Zhang 0001,1
206,Haifeng Zhang 0002,Yifei Rong,1
207,Haifeng Zhang 0002,Yong Yu 0001,1
208,Jun Wang 0012,Kan Ren,1
209,Jun Wang 0012,Weinan Zhang 0001,2
210,Jun Wang 0012,Yifei Rong,1
211,Jun Wang 0012,Yong Yu 0001,1
212,Kan Ren,Weinan Zhang 0001,1
213,Kan Ren,Yifei Rong,1
214,Kan Ren,Yong Yu 0001,1
215,Weinan Zhang 0001,Yifei Rong,1
216,Weinan Zhang 0001,Yong Yu 0001,1
217,Yifei Rong,Yong Yu 0001,1
218,Jing Yuan 0002,Shaojie Tang,1
219,James Allan,Weize Kong,1
220,Lora Aroyo,Maarten de Rijke,1
221,Lora Aroyo,Oana Inel,1
222,Lora Aroyo,Zhaochun Ren,1
223,Maarten de Rijke,Oana Inel,1
224,Maarten de Rijke,Zhaochun Ren,1
225,Oana Inel,Zhaochun Ren,1
226,Elham Shaabani,Hamidreza Alvari,1
227,Elham Shaabani,J. E. Kelly Snyder,1
228,Elham Shaabani,Paulo Shakarian,1
229,Hamidreza Alvari,J. E. Kelly Snyder,1
230,Hamidreza Alvari,Paulo Shakarian,1
231,J. E. Kelly Snyder,Paulo Shakarian,1
232,Hengfeng Li,Kotagiri Ramamohanarao,1
233,Hengfeng Li,Lars Kulik,1
234,Kotagiri Ramamohanarao,Lars Kulik,1
235,Irwin King,Tong Zhao 0002,1
236,Jiongqian Liang,Srinivasan Parthasarathy 0001,2
237,Asterios Katsifodimos,Jonas Traub,1
238,Asterios Katsifodimos,Paris Carbone,1
239,Asterios Katsifodimos,Seif Haridi,1
240,Asterios Katsifodimos,Volker Markl,1
241,Jonas Traub,Paris Carbone,1
242,Jonas Traub,Seif Haridi,1
243,Jonas Traub,Volker Markl,1
244,Paris Carbone,Seif Haridi,1
245,Paris Carbone,Volker Markl,1
246,Seif Haridi,Volker Markl,1
247,Bracha Shapira,Hagit Grushka-Cohen,1
248,Bracha Shapira,Lior Rokach,2
249,Bracha Shapira,Oded Sofer,1
250,Bracha Shapira,Ofer Biller,1
251,Hagit Grushka-Cohen,Lior Rokach,1
252,Hagit Grushka-Cohen,Oded Sofer,1
253,Hagit Grushka-Cohen,Ofer Biller,1
254,Lior Rokach,Oded Sofer,1
255,Lior Rokach,Ofer Biller,1
256,Oded Sofer,Ofer Biller,1
257,Dongyan Zhao 0001,Feifan Fan,1
258,Dongyan Zhao 0001,Lili Yao,1
259,Dongyan Zhao 0001,Yansong Feng,1
260,Feifan Fan,Lili Yao,1
261,Feifan Fan,Yansong Feng,1
262,Lili Yao,Yansong Feng,1
263,Jian Lou 0001,Yiu-ming Cheung,1
264,Achir Kalra,Chong Wang,1
265,Achir Kalra,Cristian Borcea,1
266,Achir Kalra,Yi Chen 0001,1
267,Chong Wang,Cristian Borcea,1
268,Chong Wang,Yi Chen 0001,1
269,Cristian Borcea,Yi Chen 0001,1
270,Naoto Mizuno,Takuya Akiba,1
271,Naoto Mizuno,Yosuke Yano,1
272,Takuya Akiba,Yosuke Yano,2
273,Fuzhen Zhuang,Hui Xiong 0001,1
274,Fuzhen Zhuang,Ping Luo 0001,1
275,Fuzhen Zhuang,Qing He 0003,1
276,Fuzhen Zhuang,Sinno Jialin Pan,1
277,Hui Xiong 0001,Ping Luo 0001,1
278,Hui Xiong 0001,Qing He 0003,1
279,Hui Xiong 0001,Sinno Jialin Pan,1
280,Ping Luo 0001,Qing He 0003,2
281,Ping Luo 0001,Sinno Jialin Pan,1
282,Qing He 0003,Sinno Jialin Pan,1
283,Gerhard Weikum,Jannik Strötgen,2
284,Gerhard Weikum,Kashyap Popat,1
285,Gerhard Weikum,Subhabrata Mukherjee,2
286,Jannik Strötgen,Kashyap Popat,1
287,Jannik Strötgen,Subhabrata Mukherjee,1
288,Kashyap Popat,Subhabrata Mukherjee,1
289,Carsten Eickhoff,Piyush Bansal,1
290,Carsten Eickhoff,Thomas Hofmann,2
291,Piyush Bansal,Thomas Hofmann,1
292,Huy T. Vo,Juliana Freire,2
293,Huy T. Vo,Tuan-Anh Hoang-Vu,1
294,Juliana Freire,Tuan-Anh Hoang-Vu,1
295,Chang-Tien Lu,Naren Ramakrishnan,3
296,Chang-Tien Lu,Ting Hua,1
297,Chang-Tien Lu,Wei Wang 0064,1
298,Chang-Tien Lu,Xuchao Zhang,2
299,Naren Ramakrishnan,Ting Hua,1
300,Naren Ramakrishnan,Xuchao Zhang,1
301,Ting Hua,Wei Wang 0064,1
302,Ting Hua,Xuchao Zhang,1
303,Wei Wang 0064,Xuchao Zhang,1
304,Fernando Diaz 0001,Matthew Ekstrand-Abueg,1
305,Fernando Diaz 0001,Richard McCreadie,1
306,Fernando Diaz 0001,Virgil Pavlu,1
307,Matthew Ekstrand-Abueg,Richard McCreadie,1
308,Matthew Ekstrand-Abueg,Virgil Pavlu,1
309,Richard McCreadie,Virgil Pavlu,1
310,Falk Scholer,Mark James Carman,1
311,Falk Scholer,Mark Sanderson,1
312,Falk Scholer,Pengfei Li,1
313,Mark James Carman,Mark Sanderson,1
314,Mark James Carman,Pengfei Li,1
315,Mark Sanderson,Pengfei Li,1
316,Altigran Soares da Silva,Edleno Silva de Moura,1
317,Altigran Soares da Silva,Henry S. Vieira,1
318,Altigran Soares da Silva,Marco Cristo,1
319,Altigran Soares da Silva,Pável Calado,1
320,Edleno Silva de Moura,Henry S. Vieira,1
321,Edleno Silva de Moura,Marco Cristo,1
322,Edleno Silva de Moura,Pável Calado,1
323,Henry S. Vieira,Marco Cristo,1
324,Henry S. Vieira,Pável Calado,1
325,Marco Cristo,Pável Calado,1
326,Huanhuan Chen,Zhichen Gong,1
327,Li Jin,Ling Feng,1
328,Li Jin,Zhuonan Feng,1
329,Ling Feng,Zhuonan Feng,1
330,Xuezhi Cao,Yong Yu 0001,1
331,Kosetsu Tsukuda,Masahiro Hamasaki,1
332,Kosetsu Tsukuda,Masataka Goto,1
333,Masahiro Hamasaki,Masataka Goto,1
334,Feng Wang 0001,Jiangchuan Liu,1
335,Feng Wang 0001,Xiaoyi Fan,1
336,Jiangchuan Liu,Xiaoyi Fan,1
337,Ee-Peng Lim,Thanh-Nam Doan,1
338,Brian Brost,Christina Lioma,1
339,Brian Brost,Ingemar J. Cox,1
340,Brian Brost,Yevgeny Seldin,1
341,Christina Lioma,Ingemar J. Cox,1
342,Christina Lioma,Yevgeny Seldin,1
343,Ingemar J. Cox,Yevgeny Seldin,1
344,Anshuman Sahu,Bin Tong,1
345,Anshuman Sahu,Makoto Iwayama,1
346,Anshuman Sahu,Martin Klinkigt,1
347,Anshuman Sahu,Ravigopal Vennelakanti,1
348,Anshuman Sahu,Yoshiyuki Kobayashi,1
349,Bin Tong,Makoto Iwayama,1
350,Bin Tong,Martin Klinkigt,1
351,Bin Tong,Ravigopal Vennelakanti,1
352,Bin Tong,Yoshiyuki Kobayashi,1
353,Makoto Iwayama,Martin Klinkigt,1
354,Makoto Iwayama,Ravigopal Vennelakanti,1
355,Makoto Iwayama,Yoshiyuki Kobayashi,1
356,Martin Klinkigt,Ravigopal Vennelakanti,1
357,Martin Klinkigt,Yoshiyuki Kobayashi,1
358,Ravigopal Vennelakanti,Yoshiyuki Kobayashi,1
359,Chao Huang 0001,Dong Wang 0002,4
360,Chao Huang 0001,Xian Wu,1
361,Dong Wang 0002,Xian Wu,1
362,Fangzhao Wu,Sixing Wu,1
363,Fangzhao Wu,Songfang Huang,1
364,Fangzhao Wu,Yong Qin,1
365,Fangzhao Wu,Yongfeng Huang 0001,1
366,Sixing Wu,Songfang Huang,1
367,Sixing Wu,Yong Qin,1
368,Sixing Wu,Yongfeng Huang 0001,1
369,Songfang Huang,Yong Qin,1
370,Songfang Huang,Yongfeng Huang 0001,1
371,Yong Qin,Yongfeng Huang 0001,1
372,Jiafeng Guo,Qingyao Ai,3
373,Jiafeng Guo,W. Bruce Croft,3
374,Jiafeng Guo,Yixing Fan,2
375,Qingyao Ai,W. Bruce Croft,3
376,Qingyao Ai,Yixing Fan,2
377,W. Bruce Croft,Yixing Fan,2
378,Charu C. Aggarwal,Huan Liu 0001,2
379,Charu C. Aggarwal,Jiliang Tang,2
380,Charu C. Aggarwal,Suhang Wang,1
381,Huan Liu 0001,Jiliang Tang,6
382,Huan Liu 0001,Suhang Wang,3
383,Jiliang Tang,Suhang Wang,3
384,Aixin Sun,Gao Cong,2
385,Aixin Sun,Kaiqi Zhao 0001,1
386,Gao Cong,Kaiqi Zhao 0001,1
387,Junhu Wang,Xiaowang Zhang,1
388,Junhu Wang,Xin Wang 0030,1
389,Xiaowang Zhang,Xin Wang 0030,1
390,Chenyan Xiong,Jamie Callan,1
391,Chenyan Xiong,Zhuyun Dai,1
392,Jamie Callan,Zhuyun Dai,1
393,Jessica Lin 0001,Martin Braun,1
394,Jessica Lin 0001,Nital Patel,1
395,Jessica Lin 0001,Xing Wang 0011,1
396,Martin Braun,Nital Patel,1
397,Martin Braun,Xing Wang 0011,1
398,Nital Patel,Xing Wang 0011,1
399,Amine Roukh,Carlos Ordonez 0001,1
400,Amine Roukh,Ladjel Bellatreche,1
401,Carlos Ordonez 0001,Ladjel Bellatreche,1
402,Boualem Benatallah,Lina Yao,2
403,Boualem Benatallah,Quan Z. Sheng,2
404,Boualem Benatallah,Xianzhi Wang 0001,2
405,Boualem Benatallah,Xiaofei Xu,2
406,Boualem Benatallah,Xiu Susie Fang,2
407,Boualem Benatallah,Xue Li 0001,2
408,Lina Yao,Quan Z. Sheng,3
409,Lina Yao,Xianzhi Wang 0001,2
410,Lina Yao,Xiaofei Xu,2
411,Lina Yao,Xiu Susie Fang,2
412,Lina Yao,Xue Li 0001,2
413,Quan Z. Sheng,Xianzhi Wang 0001,2
414,Quan Z. Sheng,Xiaofei Xu,2
415,Quan Z. Sheng,Xiu Susie Fang,2
416,Xianzhi Wang 0001,Xiaofei Xu,2
417,Xianzhi Wang 0001,Xiu Susie Fang,2
418,Xianzhi Wang 0001,Xue Li 0001,2
419,Xiaofei Xu,Xiu Susie Fang,2
420,Xiaofei Xu,Xue Li 0001,2
421,Xiu Susie Fang,Xue Li 0001,2
422,Daniel Preotiuc-Pietro,Jordan Carpenter,1
423,Daniel Preotiuc-Pietro,Lyle H. Ungar,2
424,Daniel Preotiuc-Pietro,Salvatore Giorgi,1
425,Jordan Carpenter,Lyle H. Ungar,1
426,Jordan Carpenter,Salvatore Giorgi,1
427,Lyle H. Ungar,Salvatore Giorgi,1
428,Alex Thomo,Diana Popova,1
429,Alex Thomo,Ran Wei,1
430,Alex Thomo,Shu Chen,1
431,Diana Popova,Ran Wei,1
432,Diana Popova,Shu Chen,1
433,Ran Wei,Shu Chen,1
434,Hua Wu 0003,Rui Yan,1
435,Hua Wu 0003,Xiangyang Zhou,1
436,Hua Wu 0003,Yiping Song,1
437,Rui Yan,Xiangyang Zhou,1
438,Rui Yan,Yiping Song,1
439,Xiangyang Zhou,Yiping Song,1
440,Jiefeng Cheng,John C. S. Lui,1
441,Jiefeng Cheng,Qin Liu,1
442,Jiefeng Cheng,Zhenguo Li,1
443,John C. S. Lui,Qin Liu,1
444,John C. S. Lui,Zhenguo Li,1
445,Qin Liu,Zhenguo Li,1
446,Armineh Nourbakhsh,Quanzhi Li,5
447,Armineh Nourbakhsh,Rui Fang,5
448,Armineh Nourbakhsh,Sameena Shah,5
449,Armineh Nourbakhsh,Xiaomo Liu,5
450,Quanzhi Li,Rui Fang,6
451,Quanzhi Li,Sameena Shah,6
452,Quanzhi Li,Xiaomo Liu,5
453,Rui Fang,Sameena Shah,6
454,Rui Fang,Xiaomo Liu,5
455,Sameena Shah,Xiaomo Liu,5
456,Sanguthevar Rajasekaran,Subrata Saha,1
457,Yan Huang 0002,Zhi Liu,1
458,Daniel Dajun Zeng,Wenji Mao,1
459,Daniel Dajun Zeng,Yuhao Zhang,1
460,Wenji Mao,Yuhao Zhang,1
461,Daniel Agun,Qinghao Wu,1
462,Daniel Agun,Susen Zhao,1
463,Daniel Agun,Tao Yang 0009,1
464,Daniel Agun,Xin Jin 0010,1
465,Daniel Agun,Yifan Shen,1
466,Qinghao Wu,Susen Zhao,1
467,Qinghao Wu,Tao Yang 0009,1
468,Qinghao Wu,Xin Jin 0010,1
469,Qinghao Wu,Yifan Shen,1
470,Susen Zhao,Tao Yang 0009,1
471,Susen Zhao,Xin Jin 0010,1
472,Susen Zhao,Yifan Shen,1
473,Tao Yang 0009,Xin Jin 0010,1
474,Tao Yang 0009,Yifan Shen,1
475,Xin Jin 0010,Yifan Shen,1
476,Avishek Anand,Besnik Fetahu,1
477,Avishek Anand,Katja Markert,1
478,Avishek Anand,Wolfgang Nejdl,1
479,Besnik Fetahu,Katja Markert,1
480,Besnik Fetahu,Wolfgang Nejdl,1
481,Katja Markert,Wolfgang Nejdl,1
482,Hairong Qi,Wei Wang 0063,1
483,Hairong Qi,Yang Song,1
484,Hairong Qi,Zhifei Zhang,1
485,Wei Wang 0063,Yang Song,1
486,Wei Wang 0063,Zhifei Zhang,1
487,Yang Song,Zhifei Zhang,1
488,Hanghang Tong,Kate Ehrlich,1
489,Hanghang Tong,Liangyue Li,2
490,Hanghang Tong,Nan Cao,1
491,Hanghang Tong,Norbou Buchler,1
492,Hanghang Tong,Yu-Ru Lin,1
493,Kate Ehrlich,Liangyue Li,1
494,Kate Ehrlich,Nan Cao,1
495,Kate Ehrlich,Norbou Buchler,1
496,Kate Ehrlich,Yu-Ru Lin,1
497,Liangyue Li,Nan Cao,1
498,Liangyue Li,Norbou Buchler,1
499,Liangyue Li,Yu-Ru Lin,1
500,Nan Cao,Norbou Buchler,1
501,Nan Cao,Yu-Ru Lin,1
502,Norbou Buchler,Yu-Ru Lin,1
503,Ahsanul Haque,Charu C. Aggarwal,2
504,Ahsanul Haque,Latifur Khan,2
505,Ahsanul Haque,Swarup Chandra,2
506,Charu C. Aggarwal,Latifur Khan,2
507,Charu C. Aggarwal,Swarup Chandra,2
508,Latifur Khan,Swarup Chandra,2
509,Santanu Chaudhury,Sumit Negi,1
510,David Novak,Eric Nyberg,1
511,David Novak,Leonid Boytsov,1
512,David Novak,Yury Malkov,1
513,Eric Nyberg,Leonid Boytsov,1
514,Eric Nyberg,Yury Malkov,1
515,Leonid Boytsov,Yury Malkov,1
516,Korris Fu-Lai Chung,Kunfeng Lai,1
517,Korris Fu-Lai Chung,Wei Lu 0006,1
518,Kunfeng Lai,Wei Lu 0006,1
519,Chong Peng,Ming Yang,2
520,Chong Peng,Qiang Cheng,2
521,Chong Peng,Zhao Kang,2
522,Ming Yang,Qiang Cheng,2
523,Ming Yang,Zhao Kang,2
524,Qiang Cheng,Zhao Kang,2
525,Cheng Chen 0002,Thomas Lukasiewicz,1
526,Cheng Chen 0002,Xiangwu Meng,1
527,Cheng Chen 0002,Yishu Miao,1
528,Cheng Chen 0002,Zhenghua Xu,1
529,Thomas Lukasiewicz,Xiangwu Meng,1
530,Thomas Lukasiewicz,Yishu Miao,1
531,Thomas Lukasiewicz,Zhenghua Xu,1
532,Xiangwu Meng,Yishu Miao,1
533,Xiangwu Meng,Zhenghua Xu,1
534,Yishu Miao,Zhenghua Xu,1
535,Eamonn J. Keogh,Hoang Anh Dau,1
536,Eamonn J. Keogh,Nurjahan Begum,1
537,Hoang Anh Dau,Nurjahan Begum,1
538,Ignacio Fernández-Tobías,Roi Blanco,1
539,Jianguo Lu,Roohollah Etemadi,1
540,Jianguo Lu,Yung H. Tsin,1
541,Roohollah Etemadi,Yung H. Tsin,1
542,Hwan-Jin Yoon,Jaewon Kim,1
543,Hwan-Jin Yoon,Paul Thomas,1
544,Hwan-Jin Yoon,Ramesh Sankaranarayana,1
545,Hwan-Jin Yoon,Tom Gedeon,1
546,Jaewon Kim,Paul Thomas,1
547,Jaewon Kim,Ramesh Sankaranarayana,1
548,Jaewon Kim,Tom Gedeon,1
549,Paul Thomas,Ramesh Sankaranarayana,1
550,Paul Thomas,Tom Gedeon,1
551,Ramesh Sankaranarayana,Tom Gedeon,1
552,Christophe Van Gysel,Evangelos Kanoulas,1
553,Christophe Van Gysel,Maarten de Rijke,2
554,Evangelos Kanoulas,Maarten de Rijke,1
555,Rong Zhou 0001,Ryan A. Rossi,1
556,David Maxwell,Leif Azzopardi,1
557,Gjergji Kasneci,Thomas Gottron,1
558,Andreas Hotho,Daniel Zoller,1
559,Andreas Hotho,Martin Becker 0003,2
560,Andreas Hotho,Stephan Doerfel,1
561,Andreas Hotho,Thomas Niebler,1
562,Daniel Zoller,Martin Becker 0003,1
563,Daniel Zoller,Stephan Doerfel,1
564,Daniel Zoller,Thomas Niebler,1
565,Martin Becker 0003,Stephan Doerfel,1
566,Martin Becker 0003,Thomas Niebler,1
567,Stephan Doerfel,Thomas Niebler,1
568,Dmitry Lagun,Donal McMahon,1
569,Dmitry Lagun,Vidhya Navalpakkam,1
570,Donal McMahon,Vidhya Navalpakkam,1
571,Chenghao Liu,Ee-Peng Lim,1
572,Chenghao Liu,Jianling Sun,1
573,Chenghao Liu,Peilin Zhao,1
574,Chenghao Liu,Steven C. H. Hoi,1
575,Ee-Peng Lim,Jianling Sun,1
576,Ee-Peng Lim,Peilin Zhao,1
577,Ee-Peng Lim,Steven C. H. Hoi,1
578,Jianling Sun,Peilin Zhao,1
579,Jianling Sun,Steven C. H. Hoi,1
580,Peilin Zhao,Steven C. H. Hoi,1
581,Chengqi Zhang,Guodong Long,1
582,Chengqi Zhang,Hong Yang,1
583,Chengqi Zhang,Jia Wu 0001,1
584,Chengqi Zhang,Qinzhe Zhang,1
585,Chengqi Zhang,Weixue Lu,1
586,Guodong Long,Hong Yang,1
587,Guodong Long,Jia Wu 0001,1
588,Guodong Long,Qinzhe Zhang,1
589,Guodong Long,Weixue Lu,1
590,Hong Yang,Jia Wu 0001,2
