,From,To,Weight
0,Di Niu,Haolan Chen,1
1,Di Niu,Kunfeng Lai,1
2,Di Niu,Masoud Ardakani,1
3,Di Niu,Yu Xu,1
4,Haolan Chen,Kunfeng Lai,1
5,Haolan Chen,Masoud Ardakani,1
6,Haolan Chen,Yu Xu,1
7,Kunfeng Lai,Masoud Ardakani,1
8,Kunfeng Lai,Yu Xu,1
9,Masoud Ardakani,Yu Xu,1
10,Dimitrios Rafailidis,Fabio Crestani,1
11,James Allan,John Foley,2
12,James Allan,Myungha Jang,1
13,James Allan,Shiri Dori-Hacohen,1
14,John Foley,Myungha Jang,1
15,John Foley,Shiri Dori-Hacohen,1
16,Myungha Jang,Shiri Dori-Hacohen,1
17,Kjetil Nørvåg,Tomasz Kusmierczyk,1
18,Huayu Wu 0001,Liang Yu,1
19,Huayu Wu 0001,Seong-Ping Chuah,1
20,Huayu Wu 0001,Stéphane Bressan,2
21,Huayu Wu 0001,Yu Lu 0003,1
22,Liang Yu,Seong-Ping Chuah,1
23,Liang Yu,Stéphane Bressan,1
24,Liang Yu,Yu Lu 0003,1
25,Seong-Ping Chuah,Stéphane Bressan,1
26,Seong-Ping Chuah,Yu Lu 0003,1
27,Stéphane Bressan,Yu Lu 0003,1
28,Bing Xiang,Bowen Zhou,1
29,Bing Xiang,Minwei Feng,1
30,Bowen Zhou,Minwei Feng,1
31,Balaji Peddamuthu,Neeta Pande,1
32,Balaji Peddamuthu,Preethi R. Raajaratnam,1
33,Balaji Peddamuthu,Ragunathan Mariappan,1
34,Balaji Peddamuthu,Sandipan Dandapat,1
35,Balaji Peddamuthu,Shourya Roy,1
36,Neeta Pande,Preethi R. Raajaratnam,1
37,Neeta Pande,Ragunathan Mariappan,1
38,Neeta Pande,Sandipan Dandapat,1
39,Neeta Pande,Shourya Roy,1
40,Preethi R. Raajaratnam,Ragunathan Mariappan,1
41,Preethi R. Raajaratnam,Sandipan Dandapat,1
42,Preethi R. Raajaratnam,Shourya Roy,1
43,Ragunathan Mariappan,Sandipan Dandapat,1
44,Ragunathan Mariappan,Shourya Roy,1
45,Sandipan Dandapat,Shourya Roy,1
46,Chaoli Wang 0001,Hanghang Tong,1
47,Chaoli Wang 0001,Lei Shi 0002,1
48,Chaoli Wang 0001,Leman Akoglu,1
49,Hanghang Tong,Lei Shi 0002,1
50,Hanghang Tong,Leman Akoglu,1
51,Lei Shi 0002,Leman Akoglu,1
52,Cheng Soon Ong,Dongwoo Kim 0002,1
53,Cheng Soon Ong,Lexing Xie,2
54,Dongwoo Kim 0002,Lexing Xie,1
55,Achim Rettinger,Lei Zhang 0034,1
56,Achim Rettinger,Michael Färber 0001,1
57,Lei Zhang 0034,Michael Färber 0001,1
58,Doheon Lee,Jake Y. Chen,1
59,Doheon Lee,Sangwoo Kim,1
60,Doheon Lee,Vincenzo Cutello,1
61,Jake Y. Chen,Sangwoo Kim,1
62,Jake Y. Chen,Vincenzo Cutello,1
63,Sangwoo Kim,Vincenzo Cutello,1
64,Chengfei Liu,J. Wenny Rahayu,1
65,Chengfei Liu,Md. Saiful Islam 0003,2
66,Chengfei Liu,Tarique Anwar,2
67,J. Wenny Rahayu,Md. Saiful Islam 0003,1
68,J. Wenny Rahayu,Tarique Anwar,1
69,Md. Saiful Islam 0003,Tarique Anwar,2
70,Djoerd Hiemstra,Hosein Azarbonyad,1
71,Djoerd Hiemstra,Jaap Kamps,1
72,Djoerd Hiemstra,Maarten Marx,1
73,Djoerd Hiemstra,Mostafa Dehghani 0001,1
74,Hosein Azarbonyad,Jaap Kamps,1
75,Hosein Azarbonyad,Maarten Marx,1
76,Hosein Azarbonyad,Mostafa Dehghani 0001,1
77,Jaap Kamps,Maarten Marx,1
78,Jaap Kamps,Mostafa Dehghani 0001,2
79,Maarten Marx,Mostafa Dehghani 0001,1
80,Craig MacDonald,Iadh Ounis,2
81,Craig MacDonald,Jarana Manotumruksa,1
82,Iadh Ounis,Jarana Manotumruksa,1
83,Nguyen Khoi Tran 0001,Nickolas J. G. Falkner,2
84,Nguyen Khoi Tran 0001,Peipei Xu,2
85,Nguyen Khoi Tran 0001,Quan Z. Sheng,2
86,Nguyen Khoi Tran 0001,Wei Emma Zhang,2
87,Nguyen Khoi Tran 0001,Wenjie Ruan,2
88,Nguyen Khoi Tran 0001,Xue Li 0001,2
89,Nickolas J. G. Falkner,Peipei Xu,2
90,Nickolas J. G. Falkner,Quan Z. Sheng,2
91,Nickolas J. G. Falkner,Wei Emma Zhang,2
92,Nickolas J. G. Falkner,Wenjie Ruan,2
93,Nickolas J. G. Falkner,Xue Li 0001,2
94,Peipei Xu,Quan Z. Sheng,2
95,Peipei Xu,Wei Emma Zhang,2
96,Peipei Xu,Wenjie Ruan,2
97,Peipei Xu,Xue Li 0001,2
98,Quan Z. Sheng,Wei Emma Zhang,3
99,Quan Z. Sheng,Wenjie Ruan,2
100,Quan Z. Sheng,Xue Li 0001,4
101,Wei Emma Zhang,Wenjie Ruan,2
102,Wei Emma Zhang,Xue Li 0001,2
103,Wenjie Ruan,Xue Li 0001,2
104,Aoying Zhou,Chengyu Wang 0001,1
105,Aoying Zhou,Rong Zhang 0002,2
106,Aoying Zhou,Xiaofeng He,1
107,Chengyu Wang 0001,Rong Zhang 0002,1
108,Chengyu Wang 0001,Xiaofeng He,1
109,Rong Zhang 0002,Xiaofeng He,1
110,Alex Thomo,Cheng Chen 0019,2
111,Alex Thomo,Fang Dong,1
112,Alex Thomo,Kui Wu 0001,2
113,Alex Thomo,Venkatesh Srinivasan 0001,2
114,Cheng Chen 0019,Fang Dong,1
115,Cheng Chen 0019,Kui Wu 0001,2
116,Cheng Chen 0019,Venkatesh Srinivasan 0001,2
117,Fang Dong,Kui Wu 0001,1
118,Fang Dong,Venkatesh Srinivasan 0001,1
119,Kui Wu 0001,Venkatesh Srinivasan 0001,2
120,Anna Shtok,Oren Kurland,2
121,Anna Shtok,Saar Kuzi,1
122,Oren Kurland,Saar Kuzi,1
123,Fuhao Zou,Hua Wang 0008,1
124,Fuhao Zou,Jiangfeng Zeng,1
125,Fuhao Zou,Ke Zhou 0001,1
126,Fuhao Zou,Xiao Ma,1
127,Hua Wang 0008,Jiangfeng Zeng,1
128,Hua Wang 0008,Ke Zhou 0001,1
129,Hua Wang 0008,Xiao Ma,1
130,Jiangfeng Zeng,Ke Zhou 0001,1
131,Jiangfeng Zeng,Xiao Ma,1
132,Ke Zhou 0001,Xiao Ma,1
133,Hengliang Luo,Ke Zhou 0003,1
134,Hengliang Luo,Min Zhang 0006,1
135,Hengliang Luo,Shaoping Ma,1
136,Hengliang Luo,Yiqun Liu 0001,1
137,Hengliang Luo,Yue Yin,1
138,Hengliang Luo,Yuli Liu,1
139,Ke Zhou 0003,Min Zhang 0006,1
140,Ke Zhou 0003,Shaoping Ma,1
141,Ke Zhou 0003,Yiqun Liu 0001,1
142,Ke Zhou 0003,Yue Yin,1
143,Ke Zhou 0003,Yuli Liu,1
144,Min Zhang 0006,Shaoping Ma,2
