,From,To,Weight
0,Ai-Jou Chou,Chih-Wei Yi,1
1,Ai-Jou Chou,Chun-Jie Chen,1
2,Ai-Jou Chou,Guanyao Li,1
3,Ai-Jou Chou,Sheng-Yun Huang,1
4,Ai-Jou Chou,Wen-Chih Peng,1
5,Ai-Jou Chou,Xiaochuan Gou,1
6,Chih-Wei Yi,Chun-Jie Chen,1
7,Chih-Wei Yi,Guanyao Li,1
8,Chih-Wei Yi,Sheng-Yun Huang,1
9,Chih-Wei Yi,Wen-Chih Peng,1
10,Chih-Wei Yi,Xiaochuan Gou,1
11,Chun-Jie Chen,Guanyao Li,1
12,Chun-Jie Chen,Sheng-Yun Huang,1
13,Chun-Jie Chen,Wen-Chih Peng,1
14,Chun-Jie Chen,Xiaochuan Gou,1
15,Guanyao Li,Sheng-Yun Huang,1
16,Guanyao Li,Wen-Chih Peng,1
17,Guanyao Li,Xiaochuan Gou,1
18,Sheng-Yun Huang,Wen-Chih Peng,1
19,Sheng-Yun Huang,Xiaochuan Gou,1
20,Wen-Chih Peng,Xiaochuan Gou,1
21,Amir Pouran Ben Veyseh,Daniel Lowd,1
22,Amir Pouran Ben Veyseh,Dejing Dou,1
23,Amir Pouran Ben Veyseh,Javid Ebrahimi,1
24,Daniel Lowd,Dejing Dou,1
25,Daniel Lowd,Javid Ebrahimi,1
26,Dejing Dou,Javid Ebrahimi,1
27,Foteini Beligianni,Gianmarco De Francisci Morales,1
28,Foteini Beligianni,Theodore Vasiloudis,1
29,Gianmarco De Francisci Morales,Theodore Vasiloudis,1
30,Hongyan Liu,Shen Liu,1
31,Chenhao Xie 0002,Haixun Wang,1
32,Chenhao Xie 0002,Hanghang Tong,1
33,Chenhao Xie 0002,Jiaqing Liang,1
34,Chenhao Xie 0002,Kezun Zhang,1
35,Chenhao Xie 0002,Lihan Chen,1
36,Chenhao Xie 0002,Wei Wang 0009,1
37,Chenhao Xie 0002,Yanghua Xiao,1
38,Haixun Wang,Hanghang Tong,1
39,Haixun Wang,Jiaqing Liang,1
40,Haixun Wang,Kezun Zhang,1
41,Haixun Wang,Lihan Chen,1
42,Haixun Wang,Wei Wang 0009,1
43,Haixun Wang,Yanghua Xiao,1
44,Hanghang Tong,Jiaqing Liang,1
45,Hanghang Tong,Kezun Zhang,1
46,Hanghang Tong,Lihan Chen,1
47,Hanghang Tong,Wei Wang 0009,1
48,Hanghang Tong,Yanghua Xiao,1
49,Jiaqing Liang,Kezun Zhang,1
50,Jiaqing Liang,Lihan Chen,1
51,Jiaqing Liang,Wei Wang 0009,1
52,Jiaqing Liang,Yanghua Xiao,1
53,Kezun Zhang,Lihan Chen,1
54,Kezun Zhang,Wei Wang 0009,1
55,Kezun Zhang,Yanghua Xiao,1
56,Lihan Chen,Wei Wang 0009,1
57,Lihan Chen,Yanghua Xiao,1
58,Wei Wang 0009,Yanghua Xiao,1
59,Guanfeng Liang,Rupesh Gupta,1
60,Guanfeng Liang,Rómer Rosales,1
61,Rupesh Gupta,Rómer Rosales,1
62,Chao Zhang 0014,Jiawei Han 0001,6
63,Chao Zhang 0014,Jingbo Shang,1
64,Chao Zhang 0014,Quan Yuan 0001,5
65,Chao Zhang 0014,Xin Cao 0001,1
66,Chao Zhang 0014,Xinhe Geng,1
67,Jiawei Han 0001,Jingbo Shang,3
68,Jiawei Han 0001,Quan Yuan 0001,5
