,From,To,Weight
0,Ao Tang,Donglin Wang,2
1,Ao Tang,Siteng Huang,1
2,Ao Tang,Xuehan Wu,1
3,Donglin Wang,Siteng Huang,1
4,Donglin Wang,Xuehan Wu,1
5,Siteng Huang,Xuehan Wu,1
6,Anika Schumann,Ioana Giurgiu,1
7,Chenwei Zhang,Philip S. Yu,1
8,Chenwei Zhang,Xiaohui Yan,1
9,Chenwei Zhang,Ye Liu 0006,1
10,Chenwei Zhang,Yi Chang 0001,1
11,Philip S. Yu,Xiaohui Yan,1
12,Philip S. Yu,Ye Liu 0006,1
13,Philip S. Yu,Yi Chang 0001,1
14,Xiaohui Yan,Ye Liu 0006,1
15,Xiaohui Yan,Yi Chang 0001,1
16,Ye Liu 0006,Yi Chang 0001,1
17,Jian Lou 0001,Jing Ma,1
18,Jian Lou 0001,Joyce C. Ho,1
19,Jian Lou 0001,Li Xiong 0001,1
20,Jian Lou 0001,Qiuchen Zhang,1
21,Jian Lou 0001,Xiaoqian Jiang,1
22,Jing Ma,Joyce C. Ho,1
23,Jing Ma,Li Xiong 0001,1
24,Jing Ma,Qiuchen Zhang,1
25,Jing Ma,Xiaoqian Jiang,1
26,Joyce C. Ho,Li Xiong 0001,1
27,Joyce C. Ho,Qiuchen Zhang,1
28,Joyce C. Ho,Xiaoqian Jiang,1
29,Li Xiong 0001,Qiuchen Zhang,1
30,Li Xiong 0001,Xiaoqian Jiang,1
31,Qiuchen Zhang,Xiaoqian Jiang,1
32,Aristides Gionis,Florian Adriaens,1
33,Aristides Gionis,Jefrey Lijffijt,1
34,Aristides Gionis,Tijl De Bie,1
35,Aristides Gionis,Çigdem Aslay,1
36,Florian Adriaens,Jefrey Lijffijt,1
37,Florian Adriaens,Tijl De Bie,1
38,Florian Adriaens,Çigdem Aslay,1
39,Jefrey Lijffijt,Tijl De Bie,2
40,Jefrey Lijffijt,Çigdem Aslay,1
41,Tijl De Bie,Çigdem Aslay,1
42,Cen Chen,Chen Qu,1
43,Cen Chen,Liu Yang 0005,1
44,Cen Chen,Minghui Qiu,3
45,Cen Chen,Mohit Iyyer,1
46,Cen Chen,W. Bruce Croft,1
47,Cen Chen,Yongfeng Zhang,1
48,Chen Qu,Liu Yang 0005,2
49,Chen Qu,Minghui Qiu,2
50,Chen Qu,Mohit Iyyer,1
51,Chen Qu,W. Bruce Croft,2
52,Chen Qu,Yongfeng Zhang,1
53,Liu Yang 0005,Minghui Qiu,2
54,Liu Yang 0005,Mohit Iyyer,1
55,Liu Yang 0005,W. Bruce Croft,2
56,Liu Yang 0005,Yongfeng Zhang,1
57,Minghui Qiu,Mohit Iyyer,1
58,Minghui Qiu,W. Bruce Croft,2
59,Minghui Qiu,Yongfeng Zhang,1
60,Mohit Iyyer,W. Bruce Croft,1
61,Mohit Iyyer,Yongfeng Zhang,1
62,W. Bruce Croft,Yongfeng Zhang,2
63,Jun Wang 0012,Mohammad Akbari 0001,1
64,Jun Wang 0012,Peng Zhang 0002,1
65,Jun Wang 0012,Shihao Zou,1
66,Jun Wang 0012,Zhonghua Li,1
67,Mohammad Akbari 0001,Peng Zhang 0002,1
68,Mohammad Akbari 0001,Shihao Zou,1
69,Mohammad Akbari 0001,Zhonghua Li,1
70,Peng Zhang 0002,Shihao Zou,1
71,Peng Zhang 0002,Zhonghua Li,1
72,Shihao Zou,Zhonghua Li,1
73,Christos Tryfonopoulos,Ilias Kanellos,1
74,Christos Tryfonopoulos,Panagiotis Deligiannis,1
75,Christos Tryfonopoulos,Serafeim Chatzopoulos,1
76,Christos Tryfonopoulos,Thanasis Vergoulis,1
77,Christos Tryfonopoulos,Theodore Dalamagas,1
78,Ilias Kanellos,Panagiotis Deligiannis,1
79,Ilias Kanellos,Serafeim Chatzopoulos,1
80,Ilias Kanellos,Thanasis Vergoulis,1
81,Ilias Kanellos,Theodore Dalamagas,1
82,Panagiotis Deligiannis,Serafeim Chatzopoulos,1
83,Panagiotis Deligiannis,Thanasis Vergoulis,1
