,From,To,Weight
84,Panagiotis Deligiannis,Theodore Dalamagas,1
85,Serafeim Chatzopoulos,Thanasis Vergoulis,1
86,Serafeim Chatzopoulos,Theodore Dalamagas,1
87,Thanasis Vergoulis,Theodore Dalamagas,1
88,Alexander Löser,Benjamin Winter,1
89,Alexander Löser,Betty van Aken,1
90,Alexander Löser,Felix A. Gers,1
91,Benjamin Winter,Betty van Aken,1
92,Benjamin Winter,Felix A. Gers,1
93,Betty van Aken,Felix A. Gers,1
94,Masatoshi Yoshikawa,Suppanut Pothirattanachaikul,1
95,Masatoshi Yoshikawa,Takehiro Yamamoto,1
96,Masatoshi Yoshikawa,Yusuke Yamamoto,1
97,Suppanut Pothirattanachaikul,Takehiro Yamamoto,1
98,Suppanut Pothirattanachaikul,Yusuke Yamamoto,1
99,Takehiro Yamamoto,Yusuke Yamamoto,1
100,Shangsong Liang,Teng Xiao,3
101,Shangsong Liang,Zaiqiao Meng,4
102,Teng Xiao,Zaiqiao Meng,3
103,Claudio Lucchese,Gabriele Tolomei,1
104,Claudio Lucchese,Stefano Calzavara,1
105,Gabriele Tolomei,Stefano Calzavara,1
106,Rafal A. Angryk,Shah Muhammad Hamdi,1
107,Rafal A. Angryk,Soukaina Filali Boubrahimi,2
108,Shah Muhammad Hamdi,Soukaina Filali Boubrahimi,1
109,Daoyuan Chen,Hai-Tao Zheng,1
110,Daoyuan Chen,Min Yang 0007,1
111,Daoyuan Chen,Yaliang Li,1
112,Daoyuan Chen,Ying Shen,1
113,Hai-Tao Zheng,Min Yang 0007,1
114,Hai-Tao Zheng,Yaliang Li,1
115,Hai-Tao Zheng,Ying Shen,1
116,Min Yang 0007,Yaliang Li,2
117,Min Yang 0007,Ying Shen,3
118,Yaliang Li,Ying Shen,2
119,Brit Youngmann,Tova Milo,2
120,Brit Youngmann,Yuval Moskovitch,1
121,Tova Milo,Yuval Moskovitch,1
122,Jiping Zheng 0001,Qi Dong,1
123,Acan Gui,Chenguang Fang,1
124,Acan Gui,Shaoxu Song,1
125,Acan Gui,Zhiwei Chen,1
126,Chenguang Fang,Shaoxu Song,1
127,Chenguang Fang,Zhiwei Chen,1
128,Shaoxu Song,Zhiwei Chen,2
129,Chenliang Li,Han Deng,1
130,Chenliang Li,Min Cai,1
131,Chenliang Li,Yan Qi,1
132,Chenliang Li,Yuming Deng,1
133,Chenliang Li,Yunwei Qi,1
134,Han Deng,Min Cai,1
135,Han Deng,Yan Qi,1
136,Han Deng,Yuming Deng,1
137,Han Deng,Yunwei Qi,1
138,Min Cai,Yan Qi,1
139,Min Cai,Yuming Deng,1
140,Min Cai,Yunwei Qi,1
141,Yan Qi,Yuming Deng,1
142,Yan Qi,Yunwei Qi,1
143,Yuming Deng,Yunwei Qi,1
144,Abdullah Mueen,M. Ashraf Siddiquee,1
145,Abdullah Mueen,Zeinab Akhavan,1
146,M. Ashraf Siddiquee,Zeinab Akhavan,1
147,Keping Bi,Qingyao Ai,1
148,Keping Bi,W. Bruce Croft,2
149,Keping Bi,Yongfeng Zhang,1
150,Qingyao Ai,W. Bruce Croft,3
151,Qingyao Ai,Yongfeng Zhang,1
152,Ajay Rastogi,Syed Afzal Murtaza Rizvi,1
153,Ajay Rastogi,Syed Shafat Ali,1
154,Ajay Rastogi,Tarique Anwar,1
155,Syed Afzal Murtaza Rizvi,Syed Shafat Ali,1
156,Syed Afzal Murtaza Rizvi,Tarique Anwar,1
157,Syed Shafat Ali,Tarique Anwar,1
158,Andrei Boiarov,Eduard Tyantov,1
159,Philip S. Yu,Xiancheng Xie,1
160,Philip S. Yu,Yangyong Zhu,2
161,Philip S. Yu,Yun Xiong,2
162,Xiancheng Xie,Yangyong Zhu,1
163,Xiancheng Xie,Yun Xiong,1
164,Yangyong Zhu,Yun Xiong,3
165,Minjia Zhang,Yuxiong He,1
166,Aditya G. Parameswaran,Amol Deshpande,1
167,Aditya G. Parameswaran,Theodoros Rekatsinas,1
168,Amol Deshpande,Theodoros Rekatsinas,1
169,Aleksei Timofeev,Ariel Fuxman,1
170,Aleksei Timofeev,Chao Jia,1
171,Aleksei Timofeev,Chen Sun,1
172,Aleksei Timofeev,Chun-Ta Lu,1
173,Aleksei Timofeev,Krishnamurthy Viswanathan,1
174,Aleksei Timofeev,Manan Shah,1
175,Aleksei Timofeev,Zhen Li,1
176,Ariel Fuxman,Chao Jia,1
177,Ariel Fuxman,Chen Sun,1
178,Ariel Fuxman,Chun-Ta Lu,1
179,Ariel Fuxman,Krishnamurthy Viswanathan,1
180,Ariel Fuxman,Manan Shah,1
181,Ariel Fuxman,Zhen Li,1
182,Chao Jia,Chen Sun,1
183,Chao Jia,Chun-Ta Lu,1
184,Chao Jia,Krishnamurthy Viswanathan,1
185,Chao Jia,Manan Shah,1
186,Chao Jia,Zhen Li,1
187,Chen Sun,Chun-Ta Lu,1
188,Chen Sun,Krishnamurthy Viswanathan,1
189,Chen Sun,Manan Shah,1
190,Chen Sun,Zhen Li,1
191,Chun-Ta Lu,Krishnamurthy Viswanathan,1
192,Chun-Ta Lu,Manan Shah,1
193,Chun-Ta Lu,Zhen Li,1
194,Krishnamurthy Viswanathan,Manan Shah,1
195,Krishnamurthy Viswanathan,Zhen Li,1
196,Manan Shah,Zhen Li,1
197,Deping Xie,Jingyuan Zhang,1
198,Deping Xie,Ping Li 0001,1
199,Deping Xie,Ronglai Jia,1
200,Deping Xie,Weijie Zhao,1
201,Deping Xie,Yulei Qian,1
202,Jingyuan Zhang,Ping Li 0001,2
203,Jingyuan Zhang,Ronglai Jia,1
204,Jingyuan Zhang,Weijie Zhao,1
205,Jingyuan Zhang,Yulei Qian,1
206,Ping Li 0001,Ronglai Jia,1
207,Ping Li 0001,Weijie Zhao,1
208,Ping Li 0001,Yulei Qian,1
209,Ronglai Jia,Weijie Zhao,1
210,Ronglai Jia,Yulei Qian,1
211,Weijie Zhao,Yulei Qian,1
212,Guanjie Zheng,Hua Wei 0001,3
213,Guanjie Zheng,Huichu Zhang,2
214,Guanjie Zheng,Jie Feng 0002,1
215,Guanjie Zheng,Kai Xu,4
216,Guanjie Zheng,Xinshi Zang,2
217,Guanjie Zheng,Yong Li 0008,1
218,Guanjie Zheng,Yuanhao Xiong,2
219,Guanjie Zheng,Zhenhui Li,4
220,Hua Wei 0001,Huichu Zhang,2
221,Hua Wei 0001,Jie Feng 0002,1
222,Hua Wei 0001,Kai Xu,3
223,Hua Wei 0001,Xinshi Zang,2
224,Hua Wei 0001,Yong Li 0008,1
225,Hua Wei 0001,Yuanhao Xiong,1
226,Hua Wei 0001,Zhenhui Li,4
227,Huichu Zhang,Jie Feng 0002,1
228,Huichu Zhang,Kai Xu,2
229,Huichu Zhang,Xinshi Zang,2
230,Huichu Zhang,Yong Li 0008,1
231,Huichu Zhang,Yuanhao Xiong,1
232,Huichu Zhang,Zhenhui Li,3
233,Jie Feng 0002,Kai Xu,1
234,Jie Feng 0002,Xinshi Zang,1
235,Jie Feng 0002,Yong Li 0008,2
236,Jie Feng 0002,Yuanhao Xiong,1
237,Jie Feng 0002,Zhenhui Li,1
238,Kai Xu,Xinshi Zang,2
239,Kai Xu,Yong Li 0008,1
240,Kai Xu,Yuanhao Xiong,2
241,Kai Xu,Zhenhui Li,4
242,Xinshi Zang,Yong Li 0008,1
243,Xinshi Zang,Yuanhao Xiong,1
244,Xinshi Zang,Zhenhui Li,2
245,Yong Li 0008,Yuanhao Xiong,1
246,Yong Li 0008,Zhenhui Li,1
247,Yuanhao Xiong,Zhenhui Li,2
248,Bracha Shapira,Gilad Katz,1
249,Bracha Shapira,Lior Rokach,1
250,Bracha Shapira,Noy Cohen-Shapira,1
251,Bracha Shapira,Roman Vainshtein,1
252,Gilad Katz,Lior Rokach,1
253,Gilad Katz,Noy Cohen-Shapira,1
254,Gilad Katz,Roman Vainshtein,1
255,Lior Rokach,Noy Cohen-Shapira,1
256,Lior Rokach,Roman Vainshtein,1
257,Noy Cohen-Shapira,Roman Vainshtein,1
258,Liang He 0001,Shiyun Chen,1
259,Liang He 0001,Xin Lin,1
260,Liang He 0001,Yanghua Xiao,1
261,Shiyun Chen,Xin Lin,1
262,Shiyun Chen,Yanghua Xiao,1
263,Xin Lin,Yanghua Xiao,1
264,Junbo Zhang,Weifeng Wang,2
265,Junbo Zhang,Yong Yu,1
266,Junbo Zhang,Yu Zheng,1
267,Junbo Zhang,Zhaoyuan Wang,1
268,Junbo Zhang,Zheyi Pan,2
269,Weifeng Wang,Yong Yu,1
270,Weifeng Wang,Yu Zheng,1
271,Weifeng Wang,Zhaoyuan Wang,1
272,Weifeng Wang,Zheyi Pan,2
273,Yong Yu,Yu Zheng,1
274,Yong Yu,Zhaoyuan Wang,1
275,Yong Yu,Zheyi Pan,1
276,Yu Zheng,Zhaoyuan Wang,1
277,Yu Zheng,Zheyi Pan,1
278,Zhaoyuan Wang,Zheyi Pan,1
279,Can Wang 0001,Chengwei Yao,1
280,Can Wang 0001,Jiajun Bu,1
281,Can Wang 0001,Martin Ester,1
282,Can Wang 0001,Shen Xin,1
283,Can Wang 0001,Xun Zhou,1
284,Can Wang 0001,Yizhou Ye,1
285,Can Wang 0001,Zhao Li,1
286,Chengwei Yao,Jiajun Bu,1
287,Chengwei Yao,Martin Ester,1
288,Chengwei Yao,Shen Xin,1
289,Chengwei Yao,Xun Zhou,1
290,Chengwei Yao,Yizhou Ye,1
291,Chengwei Yao,Zhao Li,1
292,Jiajun Bu,Martin Ester,1
293,Jiajun Bu,Shen Xin,1
294,Jiajun Bu,Xun Zhou,1
295,Jiajun Bu,Yizhou Ye,1
296,Jiajun Bu,Zhao Li,1
297,Martin Ester,Shen Xin,1
298,Martin Ester,Xun Zhou,1
299,Martin Ester,Yizhou Ye,1
300,Martin Ester,Zhao Li,1
301,Shen Xin,Xun Zhou,1
302,Shen Xin,Yizhou Ye,1
303,Shen Xin,Zhao Li,1
304,Xun Zhou,Yizhou Ye,1
305,Xun Zhou,Zhao Li,1
306,Yizhou Ye,Zhao Li,1
307,Carlos R. Rivero,Victor J. Marin,1
308,Paolo Papotti,Viet-Phi Huynh,1
309,Chen Wu,Jiangnan Xia,1
310,Chen Wu,Ming Yan,1
311,Jiangnan Xia,Ming Yan,1
312,Chaozhuo Li,Feiran Huang,1
313,Chaozhuo Li,Lei Zheng 0001,1
314,Chaozhuo Li,Philip S. Yu,2
315,Chaozhuo Li,Senzhang Wang,2
316,Chaozhuo Li,Zhoujun Li,2
317,Feiran Huang,Lei Zheng 0001,1
318,Feiran Huang,Philip S. Yu,1
319,Feiran Huang,Senzhang Wang,1
320,Feiran Huang,Zhoujun Li,1
321,Lei Zheng 0001,Philip S. Yu,2
322,Lei Zheng 0001,Senzhang Wang,1
323,Lei Zheng 0001,Zhoujun Li,1
324,Philip S. Yu,Senzhang Wang,2
325,Philip S. Yu,Zhoujun Li,2
326,Senzhang Wang,Zhoujun Li,2
327,Dan Li,Guobin Wu,1
328,Dan Li,Jieping Ye,1
329,Dan Li,Lingyu Zhang,1
330,Dan Li,Lulu Zhang,1
331,Dan Li,Tianshu Song,1
332,Dan Li,Wei Ai,1
333,Dan Li,Yan Liu 0002,1
334,Dan Li,Yongxin Tong,1
335,Dan Li,Zimu Zhou,1
336,Guobin Wu,Jieping Ye,4
337,Guobin Wu,Lingyu Zhang,1
338,Guobin Wu,Lulu Zhang,1
339,Guobin Wu,Tianshu Song,1
340,Guobin Wu,Wei Ai,1
341,Guobin Wu,Yan Liu 0002,1
342,Guobin Wu,Yongxin Tong,1
343,Guobin Wu,Zimu Zhou,1
344,Jieping Ye,Lingyu Zhang,2
345,Jieping Ye,Lulu Zhang,1
346,Jieping Ye,Tianshu Song,1
347,Jieping Ye,Wei Ai,1
348,Jieping Ye,Yan Liu 0002,1
349,Jieping Ye,Yongxin Tong,1
350,Jieping Ye,Zimu Zhou,1
351,Lingyu Zhang,Lulu Zhang,1
352,Lingyu Zhang,Tianshu Song,1
353,Lingyu Zhang,Wei Ai,1
354,Lingyu Zhang,Yan Liu 0002,1
355,Lingyu Zhang,Yongxin Tong,1
356,Lingyu Zhang,Zimu Zhou,1
357,Lulu Zhang,Tianshu Song,1
358,Lulu Zhang,Wei Ai,1
359,Lulu Zhang,Yan Liu 0002,1
360,Lulu Zhang,Yongxin Tong,1
361,Lulu Zhang,Zimu Zhou,1
362,Tianshu Song,Wei Ai,1
363,Tianshu Song,Yan Liu 0002,1
364,Tianshu Song,Yongxin Tong,2
365,Tianshu Song,Zimu Zhou,1
366,Wei Ai,Yan Liu 0002,1
367,Wei Ai,Yongxin Tong,1
368,Wei Ai,Zimu Zhou,1
369,Yan Liu 0002,Yongxin Tong,1
370,Yan Liu 0002,Zimu Zhou,1
371,Yongxin Tong,Zimu Zhou,1
372,Antonio Mallia,Michal Siedlaczek,1
373,Antonio Mallia,Mohamed Zahran,1
374,Antonio Mallia,Torsten Suel,1
375,Michal Siedlaczek,Mohamed Zahran,1
376,Michal Siedlaczek,Torsten Suel,2
377,Mohamed Zahran,Torsten Suel,1
378,Albert Bifet,Mostafa Haghir Chehreghani,1
379,Albert Bifet,Talel Abdessalem,1
380,Mostafa Haghir Chehreghani,Talel Abdessalem,1
381,Tao-Yang Fu,Wang-Chien Lee,1
382,Bo Zhang,Fuchun Sun 0001,1
383,Bo Zhang,Liang Zhang,1
384,Bo Zhang,Quanyu Dai,1
385,Bo Zhang,Weipeng Yan,1
386,Bo Zhang,Yang He,1
387,Bo Zhang,Yikai Wang,1
388,Bo Zhang,Yongjun Bao,1
389,Fuchun Sun 0001,Liang Zhang,1
390,Fuchun Sun 0001,Quanyu Dai,1
391,Fuchun Sun 0001,Weipeng Yan,1
392,Fuchun Sun 0001,Yang He,1
393,Fuchun Sun 0001,Yikai Wang,1
394,Fuchun Sun 0001,Yongjun Bao,1
395,Liang Zhang,Quanyu Dai,2
396,Liang Zhang,Weipeng Yan,1
397,Liang Zhang,Yang He,1
398,Liang Zhang,Yikai Wang,1
399,Liang Zhang,Yongjun Bao,1
400,Quanyu Dai,Weipeng Yan,1
401,Quanyu Dai,Yang He,1
402,Quanyu Dai,Yikai Wang,1
403,Quanyu Dai,Yongjun Bao,1
404,Weipeng Yan,Yang He,1
405,Weipeng Yan,Yikai Wang,1
406,Weipeng Yan,Yongjun Bao,1
407,Yang He,Yikai Wang,1
408,Yang He,Yongjun Bao,1
409,Yikai Wang,Yongjun Bao,1
410,Jiayun Zhang,Pan Hui 0001,1
411,Jiayun Zhang,Qi Li 0002,1
412,Jiayun Zhang,Qingyuan Gong,1
413,Jiayun Zhang,Xin Wang 0003,1
414,Jiayun Zhang,Yang Chen 0001,1
415,Jiayun Zhang,Yu Xiao 0001,1
416,Pan Hui 0001,Qi Li 0002,1
417,Pan Hui 0001,Qingyuan Gong,1
418,Pan Hui 0001,Xin Wang 0003,1
419,Pan Hui 0001,Yang Chen 0001,1
420,Pan Hui 0001,Yu Xiao 0001,1
421,Qi Li 0002,Qingyuan Gong,1
422,Qi Li 0002,Xin Wang 0003,1
423,Qi Li 0002,Yang Chen 0001,1
424,Qi Li 0002,Yu Xiao 0001,1
425,Qingyuan Gong,Xin Wang 0003,1
426,Qingyuan Gong,Yang Chen 0001,1
427,Qingyuan Gong,Yu Xiao 0001,1
428,Xin Wang 0003,Yang Chen 0001,1
429,Xin Wang 0003,Yu Xiao 0001,1
430,Yang Chen 0001,Yu Xiao 0001,1
431,Chao Chen,Peng Wu,1
432,Chao Chen,Qichao Que,1
433,Chao Chen,Shaoliang Nie,1
434,Chao Chen,Xiuyan Ni,1
435,Chao Chen,Yang Yu,1
436,Chao Chen,Youlin Li,1
437,Peng Wu,Qichao Que,1
438,Peng Wu,Shaoliang Nie,1
439,Peng Wu,Xiuyan Ni,1
440,Peng Wu,Yang Yu,1
441,Peng Wu,Youlin Li,1
442,Qichao Que,Shaoliang Nie,1
443,Qichao Que,Xiuyan Ni,1
444,Qichao Que,Yang Yu,1
445,Qichao Que,Youlin Li,1
446,Shaoliang Nie,Xiuyan Ni,1
447,Shaoliang Nie,Yang Yu,1
448,Shaoliang Nie,Youlin Li,1
449,Xiuyan Ni,Yang Yu,1
450,Xiuyan Ni,Youlin Li,1
451,Yang Yu,Youlin Li,1
452,Bowen Zhang 0007,Fengkun Wang,1
453,Bowen Zhang 0007,Lei Li,1
454,Bowen Zhang 0007,Li Xu,1
455,Bowen Zhang 0007,Meng Wang,1
456,Bowen Zhang 0007,Wei-Ying Ma,1
457,Bowen Zhang 0007,Yuning Jiang,1
458,Bowen Zhang 0007,Zhichen Zhao,1
459,Fengkun Wang,Lei Li,1
460,Fengkun Wang,Li Xu,1
461,Fengkun Wang,Meng Wang,1
462,Fengkun Wang,Wei-Ying Ma,1
463,Fengkun Wang,Yuning Jiang,1
464,Fengkun Wang,Zhichen Zhao,1
465,Lei Li,Li Xu,1
466,Lei Li,Meng Wang,1
467,Lei Li,Wei-Ying Ma,1
468,Lei Li,Yuning Jiang,1
469,Lei Li,Zhichen Zhao,1
470,Li Xu,Meng Wang,1
471,Li Xu,Wei-Ying Ma,1
472,Li Xu,Yuning Jiang,1
473,Li Xu,Zhichen Zhao,1
474,Meng Wang,Wei-Ying Ma,1
475,Meng Wang,Yuning Jiang,1
476,Meng Wang,Zhichen Zhao,1
477,Wei-Ying Ma,Yuning Jiang,1
478,Wei-Ying Ma,Zhichen Zhao,1
479,Yuning Jiang,Zhichen Zhao,1
480,Huafeng Liu,Jian Yu,1
481,Huafeng Liu,Jingxuan Wen,1
482,Huafeng Liu,Liping Jing,1
483,Huafeng Liu,Min Zhang,1
484,Huafeng Liu,Xiangliang Zhang 0001,1
485,Jian Yu,Jingxuan Wen,1
486,Jian Yu,Liping Jing,1
487,Jian Yu,Min Zhang,1
488,Jian Yu,Xiangliang Zhang 0001,1
489,Jingxuan Wen,Liping Jing,1
490,Jingxuan Wen,Min Zhang,1
491,Jingxuan Wen,Xiangliang Zhang 0001,1
492,Liping Jing,Min Zhang,1
493,Liping Jing,Xiangliang Zhang 0001,1
494,Min Zhang,Xiangliang Zhang 0001,1
495,Canwen Xu,Chenliang Li,2
496,Canwen Xu,Feiyang Wang,1
497,Canwen Xu,Jialong Han,1
498,Chenliang Li,Feiyang Wang,1
499,Chenliang Li,Jialong Han,1
500,Feiyang Wang,Jialong Han,1
501,Giannis Nikolentzos,Giannis Siglidis,1
502,Giannis Nikolentzos,Michalis Vazirgiannis,1
503,Giannis Siglidis,Michalis Vazirgiannis,1
504,Jiajing Zhu,Shuangqing Zhai,1
505,Jiajing Zhu,Weiguang Wang,1
506,Jiajing Zhu,Xiaofeng Liu,1
507,Jiajing Zhu,Yongguo Liu,1
508,Jiajing Zhu,Yun Zhang,1
509,Jiajing Zhu,Zijie Chen,1
510,Jiajing Zhu,Ziqiang Zheng,1
511,Shuangqing Zhai,Weiguang Wang,1
512,Shuangqing Zhai,Xiaofeng Liu,1
513,Shuangqing Zhai,Yongguo Liu,1
514,Shuangqing Zhai,Yun Zhang,1
515,Shuangqing Zhai,Zijie Chen,1
516,Shuangqing Zhai,Ziqiang Zheng,1
517,Weiguang Wang,Xiaofeng Liu,1
518,Weiguang Wang,Yongguo Liu,1
519,Weiguang Wang,Yun Zhang,1
520,Weiguang Wang,Zijie Chen,1
521,Weiguang Wang,Ziqiang Zheng,1
522,Xiaofeng Liu,Yongguo Liu,1
523,Xiaofeng Liu,Yun Zhang,1
524,Xiaofeng Liu,Zijie Chen,1
525,Xiaofeng Liu,Ziqiang Zheng,1
526,Yongguo Liu,Yun Zhang,1
527,Yongguo Liu,Zijie Chen,1
528,Yongguo Liu,Ziqiang Zheng,1
529,Yun Zhang,Zijie Chen,1
530,Yun Zhang,Ziqiang Zheng,1
531,Zijie Chen,Ziqiang Zheng,1
532,Wenjie Li 0002,Yu Lei 0004,1
533,Wenjie Li 0002,Zhitao Wang,1
534,Yu Lei 0004,Zhitao Wang,1
535,Hanghang Tong,Rui Zhang 0017,2
536,Hanghang Tong,Yada Zhu,1
537,Hanghang Tong,Yinglong Xia,1
538,Rui Zhang 0017,Yada Zhu,1
539,Rui Zhang 0017,Yinglong Xia,1
540,Yada Zhu,Yinglong Xia,1
541,Felix Neutatz,Mohammad Mahdavi,1
542,Felix Neutatz,Ziawasch Abedjan,1
543,Mohammad Mahdavi,Ziawasch Abedjan,1
544,Byeongrak Seo,Keeyoung Kim,1
545,Byeongrak Seo,Sang-Hoon Rhee,1
546,Byeongrak Seo,Seungmoon Lee,1
547,Byeongrak Seo,Simon S. Woo,1
548,Keeyoung Kim,Sang-Hoon Rhee,1
549,Keeyoung Kim,Seungmoon Lee,1
550,Keeyoung Kim,Simon S. Woo,1
551,Sang-Hoon Rhee,Seungmoon Lee,1
552,Sang-Hoon Rhee,Simon S. Woo,1
553,Seungmoon Lee,Simon S. Woo,1
554,Hao Huang,Shinjae Yoo,2
555,Hao Huang,Yunwen Xu,1
556,Shinjae Yoo,Yunwen Xu,1
557,Bhanukiran Vinzamuri,Dhaval Patel,1
558,Bhanukiran Vinzamuri,Elham Khabiri,1
559,Bhanukiran Vinzamuri,Pietro Mazzoleni,1
560,Bhanukiran Vinzamuri,Wesley M. Gifford,1
561,Dhaval Patel,Elham Khabiri,1
562,Dhaval Patel,Pietro Mazzoleni,1
563,Dhaval Patel,Wesley M. Gifford,2
564,Elham Khabiri,Pietro Mazzoleni,1
565,Elham Khabiri,Wesley M. Gifford,1
566,Pietro Mazzoleni,Wesley M. Gifford,1
567,Chandan Biswas,Debasis Ganguly,1
568,Chandan Biswas,Dwaipayan Roy,1
569,Chandan Biswas,Ujjwal Bhattacharya,1
570,Debasis Ganguly,Dwaipayan Roy,2
571,Debasis Ganguly,Ujjwal Bhattacharya,1
572,Dwaipayan Roy,Ujjwal Bhattacharya,1
573,James G. Shanahan,Liang Dai,1
574,Di Jiang,Qian Xu,1
575,Di Jiang,Qiang Yang 0001,1
576,Di Jiang,Weiwei Zhao,1
577,Di Jiang,Xueyang Wu 0001,1
578,Di Jiang,Yongxin Tong,1
579,Di Jiang,Yuanfeng Song,1
580,Qian Xu,Qiang Yang 0001,1
581,Qian Xu,Weiwei Zhao,1
582,Qian Xu,Xueyang Wu 0001,1
583,Qian Xu,Yongxin Tong,1
584,Qian Xu,Yuanfeng Song,1
585,Qiang Yang 0001,Weiwei Zhao,1
586,Qiang Yang 0001,Xueyang Wu 0001,1
587,Qiang Yang 0001,Yongxin Tong,1
588,Qiang Yang 0001,Yuanfeng Song,1
589,Weiwei Zhao,Xueyang Wu 0001,1
590,Weiwei Zhao,Yongxin Tong,1
591,Weiwei Zhao,Yuanfeng Song,1
592,Xueyang Wu 0001,Yongxin Tong,1
593,Xueyang Wu 0001,Yuanfeng Song,1
594,Yongxin Tong,Yuanfeng Song,1
595,Changwei Luo,Jun Yu,1
596,Changwei Luo,Zhaoyu Zhang,1
597,Jun Yu,Zhaoyu Zhang,1
598,Fenglin Liu,Qinyun Dai,1
599,Fenglin Liu,Weiping Wang 0005,1
600,Fenglin Liu,Yuanxin Liu,1
601,Fenglin Liu,Zheng Lin,1
602,Qinyun Dai,Weiping Wang 0005,1
603,Qinyun Dai,Yuanxin Liu,1
604,Qinyun Dai,Zheng Lin,1
605,Weiping Wang 0005,Yuanxin Liu,1
606,Weiping Wang 0005,Zheng Lin,1
607,Yuanxin Liu,Zheng Lin,1
608,Aristides Gionis,Bruno Ordozgoiti,2
609,Aristides Gionis,Edoardo Galimberti,1
610,Aristides Gionis,Francesco Bonchi,1
611,Aristides Gionis,Giancarlo Ruffo,1
612,Bruno Ordozgoiti,Edoardo Galimberti,1
613,Bruno Ordozgoiti,Francesco Bonchi,1
614,Bruno Ordozgoiti,Giancarlo Ruffo,1
615,Edoardo Galimberti,Francesco Bonchi,1
